vehicle_type_id,model_year,make,model,ev_type
vm0483,2024,LAND ROVER,RANGE ROVER,Plug-in Hybrid Electric Vehicle (PHEV)
vm0484,2024,LAND ROVER,RANGE ROVER SPORT,Plug-in Hybrid Electric Vehicle (PHEV)
vm0485,2024,LEXUS,NX,Plug-in Hybrid Electric Vehicle (PHEV)
vm0486,2024,LEXUS,RX,Plug-in Hybrid Electric Vehicle (PHEV)
vm0487,2024,LEXUS,RZ,Battery Electric Vehicle (BEV)
vm0488,2024,LEXUS,TX,Plug-in Hybrid Electric Vehicle (PHEV)
vm0489,2024,LINCOLN,CORSAIR,Plug-in Hybrid Electric Vehicle (PHEV)
vm0490,2024,LUCID,AIR,Battery Electric Vehicle (BEV)
vm0491,2024,MAZDA,CX-90,Plug-in Hybrid Electric Vehicle (PHEV)
vm0492,2024,MERCEDES-BENZ,EQB-CLASS,Battery Electric Vehicle (BEV)
vm0493,2024,MERCEDES-BENZ,EQE-CLASS SEDAN,Battery Electric Vehicle (BEV)
vm0494,2024,MERCEDES-BENZ,EQE-CLASS SUV,Battery Electric Vehicle (BEV)
vm0495,2024,MERCEDES-BENZ,EQS-CLASS SEDAN,Battery Electric Vehicle (BEV)
vm0496,2024,MERCEDES-BENZ,EQS-CLASS SUV,Battery Electric Vehicle (BEV)
vm0497,2024,MERCEDES-BENZ,ESPRINTER,Battery Electric Vehicle (BEV)
vm0498,2024,MERCEDES-BENZ,GLE-CLASS,Plug-in Hybrid Electric Vehicle (PHEV)
vm0499,2024,MERCEDES-BENZ,S-CLASS,Plug-in Hybrid Electric Vehicle (PHEV)
vm0500,2024,MINI,HARDTOP,Battery Electric Vehicle (BEV)
vm0501,2024,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV)
vm0502,2024,NISSAN,ARIYA,Battery Electric Vehicle (BEV)
vm0503,2024,NISSAN,LEAF,Battery Electric Vehicle (BEV)
vm0504,2024,POLESTAR,PS2,Battery Electric Vehicle (BEV)
vm0505,2024,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV)
vm0506,2024,PORSCHE,MACAN,Plug-in Hybrid Electric Vehicle (PHEV)
vm0507,2024,PORSCHE,TAYCAN,Battery Electric Vehicle (BEV)
vm0508,2024,RAM,PROMASTER 3500,Battery Electric Vehicle (BEV)
vm0509,2024,RIVIAN,EDV,Battery Electric Vehicle (BEV)
vm0510,2024,RIVIAN,R1S,Battery Electric Vehicle (BEV)
vm0511,2024,RIVIAN,R1T,Battery Electric Vehicle (BEV)
vm0512,2024,ROLLS-ROYCE,SPECTRE,Battery Electric Vehicle (BEV)
vm0513,2024,SUBARU,SOLTERRA,Battery Electric Vehicle (BEV)
vm0514,2024,TESLA,CYBERTRUCK,Battery Electric Vehicle (BEV)
vm0515,2024,TESLA,MODEL 3,Battery Electric Vehicle (BEV)
vm0516,2024,TESLA,MODEL S,Battery Electric Vehicle (BEV)
vm0517,2024,TESLA,MODEL X,Battery Electric Vehicle (BEV)
vm0518,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV)
vm0519,2024,TOYOTA,BZ4X,Battery Electric Vehicle (BEV)
vm0520,2024,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV)
vm0521,2024,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV)
vm0522,2024,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV)
vm0523,2024,VOLVO,C40,Battery Electric Vehicle (BEV)
vm0524,2024,VOLVO,S60,Plug-in Hybrid Electric Vehicle (PHEV)
vm0525,2024,VOLVO,S90,Plug-in Hybrid Electric Vehicle (PHEV)
vm0526,2024,VOLVO,V60,Plug-in Hybrid Electric Vehicle (PHEV)
vm0527,2024,VOLVO,XC40,Battery Electric Vehicle (BEV)
vm0528,2024,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV)
vm0529,2024,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV)
vm0530,2025,BMW,I4,Battery Electric Vehicle (BEV)
vm0531,2025,BMW,I5,Battery Electric Vehicle (BEV)
vm0532,2025,BMW,IX,Battery Electric Vehicle (BEV)
vm0533,2025,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV)
vm0534,2025,CHEVROLET,BLAZER EV,Battery Electric Vehicle (BEV)
vm0535,2025,GENESIS,GV60,Battery Electric Vehicle (BEV)
vm0536,2025,GENESIS,GV70,Battery Electric Vehicle (BEV)
vm0537,2025,GMC,HUMMER EV PICKUP,Battery Electric Vehicle (BEV)
vm0538,2025,GMC,HUMMER EV SUV,Battery Electric Vehicle (BEV)
vm0539,2025,HYUNDAI,IONIQ 5 N,Battery Electric Vehicle (BEV)
vm0540,2025,HYUNDAI,IONIQ 6,Battery Electric Vehicle (BEV)
vm0541,2025,HYUNDAI,KONA ELECTRIC,Battery Electric Vehicle (BEV)
vm0542,2025,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV)
vm0543,2025,KIA,SPORTAGE,Plug-in Hybrid Electric Vehicle (PHEV)
vm0544,2025,LAND ROVER,RANGE ROVER,Plug-in Hybrid Electric Vehicle (PHEV)
vm0545,2025,LAND ROVER,RANGE ROVER SPORT,Plug-in Hybrid Electric Vehicle (PHEV)
vm0546,2025,LEXUS,NX,Plug-in Hybrid Electric Vehicle (PHEV)
vm0547,2025,MAZDA,CX-70,Plug-in Hybrid Electric Vehicle (PHEV)
vm0548,2025,MAZDA,CX-90,Plug-in Hybrid Electric Vehicle (PHEV)
vm0549,2025,MINI,COUNTRYMAN,Battery Electric Vehicle (BEV)
vm0550,2025,NISSAN,LEAF,Battery Electric Vehicle (BEV)
vm0551,2025,PORSCHE,TAYCAN,Battery Electric Vehicle (BEV)
vm0552,2025,RIVIAN,R1S,Battery Electric Vehicle (BEV)
vm0553,2025,RIVIAN,R1T,Battery Electric Vehicle (BEV)
vm0554,2025,VOLVO,EX40,Battery Electric Vehicle (BEV)
vm0555,2025,VOLVO,S60,Plug-in Hybrid Electric Vehicle (PHEV)
vm0556,2025,VOLVO,V60,Plug-in Hybrid Electric Vehicle (PHEV)
vm0557,2025,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV)
vm0558,2025,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV)
